"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Analyzing trends for #gayrights for #cdsadaiict",FALSE,1,NA,2016-12-17 16:48:58,FALSE,NA,"810164898588200960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AnishiMehta",0,FALSE,FALSE,NA,NA
"2","RT @MsSamanthaViner: @Marina_Sirtis think you would like this #gayrights https://t.co/z9vV8ILPA0",FALSE,0,NA,2016-12-17 16:42:23,FALSE,NA,"810163239543832576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Claira4017",3,TRUE,FALSE,NA,NA
"3","Am I cute yet? #gay #gayboy #gaydude #gayteen #gaycute #instagay #gayrights https://t.co/PfsA7btcN8",FALSE,0,NA,2016-12-17 16:31:31,FALSE,NA,"810160506791165952",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","summer_boy93",0,FALSE,FALSE,NA,NA
"4","<ed><U+00A0><U+00BD><ed><U+00B3><U+00A2> @KRTpro_Music
<ed><U+00A0><U+00BD><ed><U+00B3><U+00A2> WELCOMES
@bluehelixmusic #RockMusic
@vinyl_pressing #PressingPlants
@Bahamajack #Investor 
@hauff_sonny1 #GayRights",FALSE,1,NA,2016-12-17 16:30:01,FALSE,NA,"810160129584660480",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","KRTpro_Music",0,FALSE,FALSE,NA,NA
"5","RT @highstreetsten1: #provincetown, #CapeCod, #ProvinceTown, #LGBT, #equality, #gayrights, #pride, #zipcodes
https://t.co/6IiFO8WP1f",FALSE,0,NA,2016-12-17 16:16:01,FALSE,NA,"810156607581679620",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","highstreetsten1",1,TRUE,FALSE,NA,NA
"6","RT @IsleofWightMP: Is Andrew Turner the most #homophobic MP in the UK? 
Against #gayrights #gaymarriage #LGBT 

#IsleofWight  https://t.co/<U+2026>",FALSE,0,NA,2016-12-17 16:13:24,FALSE,NA,"810155946559369216",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ldorchard",1,TRUE,FALSE,NA,NA
"7","@SenSanders lol I'm in few #years you'll be #flipping on it just like #hillary on #gayrights",FALSE,0,"SenSanders",2016-12-17 16:00:24,FALSE,"810139499552473088","810152674918338560","29442313","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RICHORNUTTIN",0,FALSE,FALSE,NA,NA
"8","( @troyesivan ) #GayRights #Lgbt Giving advice to my bestie.. <U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+009B><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+009C> https://t.co/vXxPzH8D0n",FALSE,0,NA,2016-12-17 15:41:45,FALSE,NA,"810147983044055041",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","TroyesTrashCans",0,FALSE,FALSE,NA,NA
"9","76 countries punish
9 death penalty 
3 countries hunt for them 
In almost half of the world it's a crime to be gay.
#gay #gayrights #equal",FALSE,0,NA,2016-12-17 09:31:51,FALSE,NA,"810054894820397056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KoenvdM",0,FALSE,FALSE,NA,NA
"10","RT @WipeHomophobia: #LGBT History - UK #GayRights Archive https://t.co/dDTezmbi9a",FALSE,0,NA,2016-12-17 08:54:01,FALSE,NA,"810045371275759616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Adrienne_BillyS",14,TRUE,FALSE,NA,NA
